VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,09:15.0,15:32.0,N,1,74,75,1,1.36,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,49:11.0,55:00.0,N,1,74,75,1,1.25,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,07:22.0,14:04.0,N,1,74,75,1,1.14,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,34:31.0,40:20.0,N,1,74,75,1,1.48,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,08:58.0,15:33.0,N,1,74,75,1,1.19,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,57:35.0,02:55.0,N,1,74,75,1,1.37,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,49:28.0,55:28.0,N,1,74,75,1,1.2,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,52:53.0,59:03.0,N,1,74,75,1,1.47,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,08:44.0,13:58.0,N,1,74,75,1,1.41,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,28:57.0,35:06.0,N,1,74,75,1,1.49,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,00:51.0,08:22.0,N,1,74,75,1,1.01,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,56:14.0,01:02.0,N,1,74,75,1,1.55,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,26:02.0,31:49.0,N,1,74,75,1,1.33,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,32:26.0,38:12.0,N,1,74,75,1,1.36,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,03:27.0,08:55.0,N,1,74,75,1,1.45,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,04:03.0,11:01.0,N,1,74,75,1,0.92,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,56:43.0,03:55.0,N,1,74,75,1,1.21,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,23:14.0,28:59.0,N,1,74,75,1,1.46,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,31:00.0,38:04.0,N,1,74,75,1,0.97,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,22:16.0,29:45.0,N,1,74,75,1,0.87,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,23:28.0,30:02.0,N,1,74,75,1,1.29,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,19:28.0,25:58.0,N,1,74,75,1,1.24,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,58:48.0,04:58.0,N,1,74,75,1,1.48,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,07:14.0,13:33.0,N,1,74,75,1,1.37,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,40:04.0,47:47.0,N,1,74,75,1,1.06,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,20:41.0,27:14.0,N,1,74,75,1,1.2,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,21:38.0,28:33.0,N,1,74,75,1,1.18,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,31:35.0,38:41.0,N,1,74,75,1,1.14,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,52:50.0,00:36.0,N,1,74,75,1,1,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,41:19.0,47:31.0,N,1,74,75,1,1.2,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,08:52.0,15:59.0,N,1,74,75,1,1.21,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,07:49.0,13:44.0,N,1,74,75,1,1.12,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,44:03.0,50:29.0,N,1,74,75,1,1.26,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,21:33.0,28:39.0,N,1,74,75,1,1.33,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,37:52.0,45:05.0,N,1,74,75,1,1.05,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,54:30.0,59:40.0,N,1,74,75,1,1.38,6.5,0,0.5,0,0,0.3,7.3,2,1,0
